n,mean_burst,std_burst,mean_arrival,std_arrival,mean_priority,std_priority,max_burst,min_burst,max_arrival,min_arrival,label
8,5.75,2.6339134382131846,1.375,1.5761900266148114,2.25,1.1989578808281798,9,1,5,0,SJF
3,5.333333333333333,3.2998316455372216,0.6666666666666666,0.4714045207910317,1.3333333333333333,0.4714045207910317,9,1,1,0,SJF
7,5.857142857142857,1.5518257844571735,2.4285714285714284,1.6781914463529615,3.857142857142857,0.989743318610787,8,3,5,0,SJF
5,5.8,0.9797958971132712,2.2,1.6,3.4,1.3564659966250538,7,5,5,1,SJF
7,5.285714285714286,2.7105237087157534,1.8571428571428572,1.456862718169367,3.2857142857142856,1.5779087167410373,10,1,4,0,SJF
4,3.5,3.278719262151,2.5,1.5,3.0,1.224744871391589,9,1,5,1,SJF
4,5.5,3.0413812651491097,2.75,1.479019945774904,1.5,0.8660254037844386,9,2,5,1,SJF
5,6.8,2.6381811916545836,3.0,1.0954451150103321,2.4,1.2,10,2,5,2,SJF
5,5.8,2.4819347291981715,3.6,1.4966629547095764,2.4,1.2000000000000002,10,3,5,1,SJF
7,3.7142857142857144,1.979486637221574,2.5714285714285716,2.3211538298959886,2.4285714285714284,1.2936264483053452,8,2,5,0,SJF
7,5.285714285714286,1.9059520091609048,3.0,1.5118578920369088,2.2857142857142856,1.2777531299998797,8,3,5,0,SJF
8,4.75,2.165063509461097,2.25,1.8540496217739157,2.5,1.4142135623730951,10,2,5,0,SJF
6,6.333333333333333,3.39934634239519,3.6666666666666665,1.4907119849998598,3.1666666666666665,1.0671873729054748,10,2,5,1,SJF
4,6.5,1.5,3.75,2.165063509461097,3.25,1.479019945774904,8,4,5,0,SJF
7,5.428571428571429,2.770102775666474,3.142857142857143,1.8070158058105026,2.857142857142857,1.6413036132965795,10,2,5,0,SJF
4,5.5,2.598076211353316,2.0,1.224744871391589,2.0,0.7071067811865476,10,4,3,0,SJF
6,4.333333333333333,1.9720265943665387,2.5,1.5,3.1666666666666665,1.5723301886761007,8,2,4,1,SJF
8,5.25,2.6339134382131846,2.625,1.4086784586980805,2.75,1.7853571071357126,9,2,4,0,SJF
7,4.714285714285714,3.282607226593159,2.5714285714285716,0.9035079029052513,2.7142857142857144,1.4846149779161804,10,1,4,1,SJF
3,6.0,3.559026084010437,2.0,1.4142135623730951,2.6666666666666665,0.4714045207910317,9,1,3,0,SJF
8,4.875,2.7585095613392387,2.625,1.4947825928876748,3.25,1.1989578808281798,9,2,5,1,SJF
7,4.857142857142857,2.747912008810192,2.0,1.5118578920369088,2.7142857142857144,1.2777531299998797,10,1,4,0,SJF
8,6.25,2.9047375096555625,3.125,1.5360257159305635,3.75,1.479019945774904,10,3,5,0,SJF
8,4.875,3.2185982973959333,2.0,1.5,3.375,1.3169567191065923,10,1,4,0,SJF
6,6.666666666666667,2.5603819159562025,2.0,1.9148542155126762,3.1666666666666665,1.5723301886761005,10,3,5,0,SJF
7,3.7142857142857144,2.710523708715754,1.4285714285714286,1.9897697538834456,2.7142857142857144,1.2777531299998797,9,1,5,0,SJF
7,6.428571428571429,2.969229955832361,2.7142857142857144,1.385051387833237,3.142857142857143,1.4568627181693672,10,1,4,0,SJF
4,5.25,3.112474899497183,3.75,2.165063509461097,3.75,0.82915619758885,10,2,5,0,FCFS
4,6.5,1.8027756377319946,1.75,0.82915619758885,3.25,1.0897247358851685,9,4,3,1,SJF
3,4.0,2.449489742783178,2.0,0.816496580927726,3.0,1.4142135623730951,7,1,3,1,FCFS
7,5.571428571428571,2.4411439272335804,2.2857142857142856,1.577908716741037,3.5714285714285716,1.3997084244475304,10,2,4,0,SJF
7,5.857142857142857,2.899683304312063,2.857142857142857,2.0303814862216996,4.285714285714286,1.3850513878332367,10,2,5,0,SJF
4,4.25,3.6996621467371855,2.0,1.8708286933869707,2.5,1.5,10,1,5,0,FCFS
6,5.5,3.1490739379485304,2.3333333333333335,1.699673171197595,3.0,1.5275252316519468,10,1,5,0,SJF
3,6.0,0.816496580927726,2.3333333333333335,1.247219128924647,4.0,0.816496580927726,7,5,4,1,SJF
8,5.375,3.07967124868873,2.375,1.4086784586980805,3.5,1.224744871391589,10,1,5,0,SJF
3,6.333333333333333,1.247219128924647,3.3333333333333335,1.247219128924647,1.6666666666666667,0.4714045207910317,8,5,5,2,FCFS
7,7.0,2.2038926600773587,2.857142857142857,1.6413036132965795,3.4285714285714284,1.049781318335648,10,4,5,1,SJF
8,6.875,2.2043990110685496,2.875,1.6909686573085854,2.0,1.3228756555322954,9,3,5,0,SJF
6,5.5,2.6299556396765835,2.1666666666666665,1.3437096247164249,3.8333333333333335,1.3437096247164249,10,2,4,0,SJF
6,6.833333333333333,2.793842435706702,2.3333333333333335,1.8856180831641267,3.6666666666666665,1.3743685418725535,10,1,5,0,SJF
6,6.166666666666667,2.793842435706702,2.3333333333333335,1.49071198499986,2.5,0.7637626158259734,9,2,5,0,SJF
8,7.75,2.680951323690902,2.625,1.653594569415369,2.25,1.299038105676658,10,2,5,0,SJF
4,2.25,0.4330127018922193,1.5,1.5,3.5,1.6583123951777,3,2,3,0,SJF
5,5.4,3.006659275674582,2.4,1.854723699099141,3.4,1.2000000000000002,9,1,5,0,SJF
4,6.75,3.418698582794336,4.0,1.224744871391589,2.75,1.7853571071357126,10,2,5,2,FCFS
8,5.5,2.6457513110645907,2.625,1.4947825928876748,3.25,1.1989578808281798,9,1,5,1,SJF
4,4.75,3.766629793329841,1.75,0.82915619758885,2.5,1.5,9,1,3,1,SJF
6,4.5,4.031128874149275,3.3333333333333335,1.8856180831641267,3.0,1.4142135623730951,10,1,5,0,SJF
4,3.5,2.179449471770337,1.25,1.299038105676658,2.25,1.299038105676658,7,1,3,0,SJF
5,6.2,3.919183588453085,1.0,1.5491933384829668,3.2,1.16619037896906,10,1,4,0,SJF
6,3.3333333333333335,1.7950549357115013,1.6666666666666667,1.7950549357115013,2.8333333333333335,1.2133516482134197,6,1,5,0,SJF
3,7.0,2.449489742783178,0.0,0.0,3.6666666666666665,0.9428090415820634,10,4,0,0,SJF
4,5.5,2.8722813232690143,1.25,1.299038105676658,3.0,1.224744871391589,10,3,3,0,SJF
3,7.666666666666667,1.247219128924647,1.0,0.816496580927726,3.3333333333333335,1.699673171197595,9,6,2,0,FCFS
4,7.5,2.8722813232690143,4.0,1.224744871391589,3.25,1.299038105676658,10,3,5,2,SJF
4,3.5,1.6583123951777,2.0,1.8708286933869707,3.0,1.5811388300841898,6,2,5,0,SJF
3,6.333333333333333,2.8674417556808756,0.3333333333333333,0.4714045207910317,3.3333333333333335,1.699673171197595,10,3,1,0,SJF
3,4.666666666666667,1.8856180831641267,2.0,0.816496580927726,2.6666666666666665,0.4714045207910317,6,2,3,1,FCFS
7,6.857142857142857,3.4404555939406554,2.857142857142857,1.6413036132965795,2.2857142857142856,1.0301575072754257,10,1,5,1,SJF
5,3.2,2.9933259094191533,2.0,1.8973665961010275,2.0,1.0954451150103321,9,1,5,0,SJF
6,6.666666666666667,2.357022603955158,2.5,1.5,3.5,1.118033988749895,10,3,5,1,SJF
8,6.0,3.122498999199199,2.375,1.79843682124227,3.125,1.165922381636102,10,1,5,0,SJF
7,4.571428571428571,1.9897697538834456,3.5714285714285716,1.6781914463529615,2.857142857142857,1.3552618543578767,8,2,5,1,SJF
6,5.5,3.253203549323856,2.3333333333333335,1.8856180831641267,4.333333333333333,0.4714045207910317,9,1,5,0,SJF
3,8.666666666666666,0.4714045207910317,1.3333333333333333,1.8856180831641267,2.3333333333333335,1.8856180831641267,9,8,4,0,SJF
7,6.571428571428571,3.2888184094918107,2.7142857142857144,1.3850513878332367,4.142857142857143,1.355261854357877,10,1,5,1,SJF
6,5.0,3.0550504633038935,2.3333333333333335,2.1343747458109497,2.8333333333333335,1.3437096247164249,10,1,5,0,SJF
3,5.333333333333333,0.4714045207910317,2.3333333333333335,1.699673171197595,1.3333333333333333,0.4714045207910317,6,5,4,0,SJF
4,8.5,1.6583123951777,3.75,0.82915619758885,2.5,1.118033988749895,10,6,5,3,FCFS
5,4.0,1.6733200530681511,1.8,1.9390719429665317,2.8,1.16619037896906,6,1,5,0,SJF
8,6.0,3.427827300200522,2.5,1.5,3.375,1.2183492931011204,10,1,4,0,SJF
8,5.125,3.370367190678191,2.25,1.3919410907075054,2.625,1.3169567191065923,10,2,4,0,SJF
3,3.0,1.4142135623730951,2.0,0.816496580927726,4.333333333333333,0.4714045207910317,4,1,3,1,SJF
5,5.0,3.40587727318528,3.0,1.8973665961010275,3.6,1.019803902718557,9,1,5,0,SJF
5,4.6,2.5768197453450252,3.0,1.6733200530681511,3.4,1.2,9,1,5,1,SJF
8,5.375,2.6427968139832467,2.5,0.8660254037844386,4.125,1.2686114456365274,10,2,3,1,SJF
3,6.666666666666667,2.8674417556808756,2.3333333333333335,1.247219128924647,1.6666666666666667,0.4714045207910317,10,3,4,1,SJF
3,7.666666666666667,1.8856180831641267,3.0,1.632993161855452,2.3333333333333335,0.9428090415820634,9,5,5,1,SJF
4,4.5,1.5,4.0,1.7320508075688772,2.25,1.0897247358851685,7,3,5,1,FCFS
8,7.125,2.4717149916606487,2.25,1.6393596310755,3.125,1.2686114456365274,10,4,5,0,SJF
3,8.0,1.632993161855452,3.3333333333333335,1.699673171197595,3.3333333333333335,0.4714045207910317,10,6,5,1,FCFS
8,4.625,3.42554740151118,2.5,1.9364916731037085,4.125,1.0532687216470449,10,1,5,0,SJF
7,5.285714285714286,2.1852940772540506,1.5714285714285714,1.5907898179514348,3.5714285714285716,1.3997084244475304,9,2,4,0,SJF
7,4.428571428571429,2.920721185751553,2.142857142857143,1.8070158058105026,2.857142857142857,1.2453996981544782,8,1,5,0,SJF
5,5.2,2.4819347291981715,1.6,1.7435595774162693,2.4,1.2000000000000002,8,1,5,0,SJF
7,6.142857142857143,2.695423180587601,3.142857142857143,1.9587584572574412,2.2857142857142856,1.1605769149479943,10,1,5,0,SJF
3,6.0,2.943920288775949,2.6666666666666665,1.247219128924647,2.6666666666666665,1.699673171197595,9,2,4,1,FCFS
4,5.5,3.640054944640259,3.0,2.0,3.25,1.479019945774904,10,1,5,1,SJF
5,8.0,1.7888543819998317,3.4,1.3564659966250536,3.0,1.0954451150103321,10,5,5,1,SJF
6,7.166666666666667,1.7716909687891083,2.1666666666666665,1.5723301886761005,3.3333333333333335,1.1055415967851334,10,5,5,0,SJF
3,6.333333333333333,3.0912061651652345,1.6666666666666667,1.699673171197595,4.333333333333333,0.9428090415820634,9,2,4,0,FCFS
5,5.0,3.4641016151377544,2.4,0.8,2.6,1.9595917942265426,10,1,3,1,SJF
5,6.2,2.5612496949731396,2.6,1.7435595774162693,2.8,1.16619037896906,10,3,5,0,SJF
8,6.5,2.5,2.0,1.6583123951777,2.125,1.0532687216470449,9,2,5,0,SJF
7,5.714285714285714,1.9059520091609048,3.142857142857143,1.1248582677159729,2.4285714285714284,1.498298354528788,8,2,4,1,SJF
4,4.25,2.384848003542364,3.25,1.0897247358851685,3.5,1.118033988749895,7,1,5,2,SJF
3,6.333333333333333,2.0548046676563256,3.6666666666666665,1.8856180831641267,2.3333333333333335,0.9428090415820634,9,4,5,1,SJF
4,7.0,3.6742346141747673,2.75,1.0897247358851685,3.25,1.7853571071357126,10,1,4,1,SJF
4,5.5,1.6583123951777,2.25,1.7853571071357126,2.75,1.0897247358851685,7,3,4,0,SJF
8,6.0,2.345207879911715,2.25,0.9682458365518543,3.0,1.224744871391589,10,3,3,0,SJF
5,5.4,3.3823069050575527,2.2,2.3151673805580453,2.6,0.8,9,1,5,0,SJF
8,4.25,2.947456530637899,1.5,1.0,2.5,1.118033988749895,9,1,3,0,SJF
8,5.5,2.8722813232690143,2.75,1.1989578808281798,3.0,1.6583123951777,10,2,4,1,SJF
3,5.666666666666667,2.357022603955158,3.0,0.816496580927726,1.6666666666666667,0.4714045207910317,9,4,4,2,FCFS
4,5.5,2.0615528128088303,2.5,1.118033988749895,3.0,1.5811388300841898,9,4,4,1,SJF
5,5.4,1.7435595774162693,2.2,1.16619037896906,3.0,1.4142135623730951,7,2,4,1,FCFS
3,4.333333333333333,2.6246692913372702,2.0,2.160246899469287,2.0,0.816496580927726,8,2,5,0,SJF
5,4.8,2.4,2.4,1.3564659966250538,3.0,1.4142135623730951,7,1,4,0,SJF
4,5.5,3.640054944640259,1.0,1.224744871391589,2.25,1.0897247358851685,10,1,3,0,SJF
6,3.8333333333333335,2.266911751455907,2.6666666666666665,1.7950549357115013,3.3333333333333335,1.247219128924647,7,1,5,0,SJF
4,4.75,2.165063509461097,3.5,1.118033988749895,3.0,1.224744871391589,8,2,5,2,SJF
6,4.5,1.707825127659933,3.0,1.8257418583505538,3.1666666666666665,0.8975274678557507,7,2,5,0,SJF
8,4.375,2.496873044429772,2.625,2.057759704144291,2.875,1.4523687548277813,9,1,5,0,SJF
4,7.0,2.23606797749979,3.0,1.8708286933869707,3.0,1.224744871391589,10,4,5,0,SJF
3,8.333333333333334,2.357022603955158,1.0,1.4142135623730951,2.6666666666666665,1.247219128924647,10,5,3,0,SJF
8,5.375,2.057759704144291,2.625,1.5761900266148114,3.25,1.299038105676658,8,2,5,0,SJF
4,3.75,2.165063509461097,3.0,1.224744871391589,2.0,1.224744871391589,7,1,4,1,SJF
7,5.142857142857143,2.2946254863155726,4.0,0.7559289460184544,3.0,1.1952286093343936,8,1,5,3,SJF
3,5.666666666666667,3.39934634239519,2.6666666666666665,1.247219128924647,4.0,1.4142135623730951,9,1,4,1,SJF
7,6.714285714285714,3.1036515689143473,2.4285714285714284,1.761261143705422,2.857142857142857,0.8329931278350429,10,2,5,0,SJF
4,6.75,2.0463381929681126,3.0,1.7320508075688772,3.0,1.224744871391589,10,5,4,0,SJF
4,6.25,1.7853571071357126,1.75,1.299038105676658,5.0,0.0,8,4,3,0,SJF
8,4.625,2.54644359843292,3.0,1.9364916731037085,2.625,1.4947825928876748,10,1,5,0,SJF
5,5.6,2.33238075793812,2.0,1.4142135623730951,3.8,1.16619037896906,10,4,4,0,RR
5,6.4,3.3823069050575527,3.4,1.019803902718557,3.2,1.16619037896906,10,2,5,2,SJF
5,5.8,2.7129319932501073,1.6,1.624807680927192,3.0,1.4142135623730951,10,2,4,0,SJF
7,4.142857142857143,3.226168511610347,2.0,0.9258200997725514,3.142857142857143,1.124858267715973,10,1,3,0,SJF
8,4.125,2.027159342528357,2.875,1.3635890143294642,2.5,1.5,9,2,4,0,SJF
8,3.0,1.7320508075688772,2.375,1.8666480653835098,2.375,1.653594569415369,6,1,5,0,SJF
5,3.6,2.8000000000000003,2.2,1.469693845669907,2.6,1.2,9,1,4,0,SJF
8,5.375,2.2325713874364688,3.125,1.8328597873268975,3.125,1.165922381636102,8,2,5,0,SJF
3,6.0,2.943920288775949,0.6666666666666666,0.9428090415820634,2.3333333333333335,1.247219128924647,10,3,2,0,SJF
3,5.333333333333333,0.9428090415820634,1.3333333333333333,1.247219128924647,3.3333333333333335,1.699673171197595,6,4,3,0,SJF
